LPRNet loaded
STN loaded
training dataset loaded with length : 0
training kicked off..
----------
Epoch 233/999, Iters: 002800, loss: -0.0473, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 241/999, Iters: 002900, loss: -0.1086, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 249/999, Iters: 003000, loss: -0.2001, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 258/999, Iters: 003100, loss: -0.1108, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 266/999, Iters: 003200, loss: -0.0863, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 274/999, Iters: 003300, loss: -0.1449, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 283/999, Iters: 003400, loss: -0.0751, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 291/999, Iters: 003500, loss: -0.0923, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 299/999, Iters: 003600, loss: -0.2036, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 308/999, Iters: 003700, loss: -0.1215, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 316/999, Iters: 003800, loss: -0.1299, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 8/999, Iters: 000100, loss: 1.5652, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 16/999, Iters: 000200, loss: 0.7097, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 24/999, Iters: 000300, loss: 0.0032, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 33/999, Iters: 000400, loss: -0.0675, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 41/999, Iters: 000500, loss: -0.0454, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 49/999, Iters: 000600, loss: -0.2546, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 58/999, Iters: 000700, loss: -0.1865, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 66/999, Iters: 000800, loss: -0.2467, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 74/999, Iters: 000900, loss: -0.2894, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 83/999, Iters: 001000, loss: -0.2154, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 91/999, Iters: 001100, loss: -0.2377, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 99/999, Iters: 001200, loss: -0.2924, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 108/999, Iters: 001300, loss: -0.2430, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 116/999, Iters: 001400, loss: -0.2449, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 124/999, Iters: 001500, loss: -0.3117, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 133/999, Iters: 001600, loss: -0.2740, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 141/999, Iters: 001700, loss: -0.2591, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 149/999, Iters: 001800, loss: -0.2659, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 158/999, Iters: 001900, loss: -0.2922, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 166/999, Iters: 002000, loss: -0.2602, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 174/999, Iters: 002100, loss: -0.3175, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 183/999, Iters: 002200, loss: -0.3051, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 191/999, Iters: 002300, loss: -0.2650, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
