Epoch 4/99, Iters: 000600, loss: 3.2589, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 5/99, Iters: 000700, loss: 2.1933, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 6/99, Iters: 000800, loss: 4.2678, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 000900, loss: 2.7470, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 001000, loss: 2.7985, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 8/99, Iters: 001100, loss: 2.7997, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 9/99, Iters: 001200, loss: 2.5094, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 10/99, Iters: 001300, loss: 2.4567, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 11/99, Iters: 001400, loss: 2.5343, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 11/99, Iters: 001500, loss: 2.3206, train_accuracy: 0.0000, time: 0.05 s/iter, learning rate: 0.001
Epoch 12/99, Iters: 001600, loss: 1.6935, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 13/99, Iters: 001700, loss: 2.5943, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 14/99, Iters: 001800, loss: 2.5064, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 15/99, Iters: 001900, loss: 2.1175, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 15/99, Iters: 002000, loss: 2.2830, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 16/99, Iters: 002100, loss: 2.0400, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 17/99, Iters: 002200, loss: 2.5644, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 18/99, Iters: 002300, loss: 2.2566, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 19/99, Iters: 002400, loss: 2.6990, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 19/99, Iters: 002500, loss: 2.4672, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 20/99, Iters: 002600, loss: 2.5559, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 21/99, Iters: 002700, loss: 2.8633, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 22/99, Iters: 002800, loss: 3.5560, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 23/99, Iters: 002900, loss: 2.2806, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 23/99, Iters: 003000, loss: 2.5215, train_accuracy: 0.0000, time: 0.05 s/iter, learning rate: 0.001
Epoch 24/99, Iters: 003100, loss: 2.1506, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 25/99, Iters: 003200, loss: 2.3579, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 26/99, Iters: 003300, loss: 2.5399, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 26/99, Iters: 003400, loss: 2.4303, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 27/99, Iters: 003500, loss: 2.3439, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 28/99, Iters: 003600, loss: 2.8755, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 29/99, Iters: 003700, loss: 2.6130, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 30/99, Iters: 003800, loss: 2.4540, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 30/99, Iters: 003900, loss: 2.3992, train_accuracy: 0.0000, time: 0.05 s/iter, learning rate: 0.001
Epoch 31/99, Iters: 004000, loss: 2.1614, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 32/99, Iters: 004100, loss: 2.8192, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 33/99, Iters: 004200, loss: 2.3790, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 34/99, Iters: 004300, loss: 2.7452, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 34/99, Iters: 004400, loss: 2.0756, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 35/99, Iters: 004500, loss: 2.9005, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 36/99, Iters: 004600, loss: 2.4643, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 37/99, Iters: 004700, loss: 2.4635, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 38/99, Iters: 004800, loss: 3.0256, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 38/99, Iters: 004900, loss: 2.4842, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 39/99, Iters: 005000, loss: 2.3944, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 40/99, Iters: 005100, loss: 2.3688, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 41/99, Iters: 005200, loss: 2.5045, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 42/99, Iters: 005300, loss: 2.1356, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 42/99, Iters: 005400, loss: 2.6195, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 43/99, Iters: 005500, loss: 2.8865, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 44/99, Iters: 005600, loss: 2.4047, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 45/99, Iters: 005700, loss: 2.1899, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 46/99, Iters: 005800, loss: 2.5231, train_accuracy: 0.0000, time: 0.00 s/iter, learning rate: 0.001
Epoch 46/99, Iters: 005900, loss: 2.6645, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 47/99, Iters: 006000, loss: 1.9576, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 48/99, Iters: 006100, loss: 2.5765, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 49/99, Iters: 006200, loss: 2.0537, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 49/99, Iters: 006300, loss: 2.0231, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 50/99, Iters: 006400, loss: 2.4154, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 51/99, Iters: 006500, loss: 2.7606, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 52/99, Iters: 006600, loss: 2.7543, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 53/99, Iters: 006700, loss: 2.3431, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 53/99, Iters: 006800, loss: 1.8851, train_accuracy: 0.0000, time: 0.05 s/iter, learning rate: 0.001
Epoch 54/99, Iters: 006900, loss: 3.4949, train_accuracy: 0.0000, time: 0.05 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 1.8411, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: 1.7495, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 2.1914, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: 2.2976, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 2/99, Iters: 000300, loss: 2.1305, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000400, loss: 2.0484, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000500, loss: 2.1392, train_accuracy: 0.0000, time: 0.05 s/iter, learning rate: 0.001
Epoch 4/99, Iters: 000600, loss: 2.2558, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 5/99, Iters: 000700, loss: 1.8250, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 6/99, Iters: 000800, loss: 1.3955, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 000900, loss: 2.1839, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 001000, loss: 1.4040, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 8/99, Iters: 001100, loss: 2.6737, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 9/99, Iters: 001200, loss: 1.0715, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 10/99, Iters: 001300, loss: 0.7886, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 11/99, Iters: 001400, loss: 1.8945, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 11/99, Iters: 001500, loss: 0.7056, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 12/99, Iters: 001600, loss: 1.9121, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 13/99, Iters: 001700, loss: 0.5893, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 14/99, Iters: 001800, loss: 0.6377, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 15/99, Iters: 001900, loss: 1.4606, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 2.8385, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: 2.3521, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 0/99, Iters: 000100, loss: 2.5247, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 1/99, Iters: 000200, loss: 2.2958, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 2/99, Iters: 000300, loss: 2.3032, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000400, loss: 2.0188, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 3/99, Iters: 000500, loss: 3.1831, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 4/99, Iters: 000600, loss: 2.1473, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
Epoch 5/99, Iters: 000700, loss: 1.5396, train_accuracy: 0.0000, time: 0.03 s/iter, learning rate: 0.001
Epoch 6/99, Iters: 000800, loss: 1.8211, train_accuracy: 0.0000, time: 0.02 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 000900, loss: 2.5625, train_accuracy: 0.0000, time: 0.01 s/iter, learning rate: 0.001
Epoch 7/99, Iters: 001000, loss: 2.7481, train_accuracy: 0.0000, time: 0.04 s/iter, learning rate: 0.001
